year,mean,min
1820,26.5,23.8
1821,27.9,24.6
1822,27.2,24.5
1823,27.0,24.7
1824,27.5,24.9
1825,27.1,24.6
1826,,
1827,,
1828,,
1829,,
1830,,
1831,,
1832,,
1833,,
1834,,
1835,27.5,
1836,26.4,24.3
1837,26.5,24.6
1838,26.5,24.6
1839,,
1840,26.7,22.4
1841,,
1842,,
1843,,
1844,,
1845,,
1846,,
1847,,
1848,,
1849,,
1850,,
1851,,
1852,,
1853,,
1854,,
1855,,
1856,,
1857,,
1858,,
1859,,
1860,,
1861,,
1862,,
1863,,
1864,,
1865,,
1866,,
1867,,
1868,,
1869,,
1870,,
1871,,
1872,,
1873,,
1874,,
1875,26.8,22.5
1876,27.3,22.9
1877,27.9,23.2
1878,27.8,23.8
1879,27.2,23.1
1880,27.2,23.0
1881,27.6,22.9
1882,27.7,22.8
1883,27.4,22.3
1884,,
1885,,
1886,,
1887,,
1888,,
1889,,
1890,,
1891,,
1892,,
1893,,
1894,,
1895,,
1896,,
1897,,
1898,,
1899,,
1900,,
1901,,
1902,26.6,22.6
1903,26.7,23.5
1904,26.4,22.8
1905,27.1,23.4
1906,27.1,23.8
1907,,
1908,,
1909,,
1910,,
1911,28.1,23.5
1912,28.1,23.9
1913,27.8,23.5
1914,28.5,24.0
1915,28.6,23.7
1916,28.2,23.5
1917,,
1918,,
1919,,
1920,,
1921,,
1922,,
1923,,
1924,,
1925,,
1926,,
1927,,
1928,,
1929,,
1930,,
1931,,
1932,,
1933,,
1934,,
1935,,
1936,,
1937,,
1938,,
1939,,
1940,,
1941,,
1942,,
1943,,
1944,,
1945,,
1946,,
1947,,
1948,26.8,
1949,26.8,
1950,26.6,
1951,26.9,
1952,27.0,
1953,26.9,
1954,26.6,
1955,26.6,
1956,26.2,
1957,26.6,
1958,26.9,
1959,26.7,
1960,26.7,
1961,26.7,
1962,26.4,
1963,26.6,
1964,26.4,
1965,26.5,
1966,26.5,
1967,26.4,
1968,26.3,
1969,26.5,
1970,26.3,
1971,26.0,
1972,26.4,
1973,26.3,
1974,26.0,
1975,26.2,
1976,26.4,
1977,26.6,
1978,26.7,
1979,26.8,
1980,26.9,
1981,26.9,
1982,27.4,24.6
1983,27.7,24.9
1984,26.8,24.0
1985,27.1,24.3
1986,27.1,24.4
1987,27.4,24.7
1988,27.2,24.6
1989,26.9,24.1
1990,27.6,24.8
1991,27.4,24.7
1992,27.4,24.4
1993,27.4,24.6
1994,27.6,24.7
1995,27.6,24.7
1996,27.5,24.5
1997,28.3,25.3
1998,28.3,25.3
1999,27.5,24.7
2000,27.5,24.7
2001,27.6,24.9
2002,28.1,25.2
2003,27.8,25.1
2004,27.9,25.1
2005,28.0,25.1
2006,27.7,25.0
2007,27.5,24.8
2008,27.5,24.7
2009,27.9,25.0
2010,28.1,24.9
2011,27.6,24.7
2012,27.5,25.0
2013,27.6,25.0
2014,27.9,25.3
2015,28.3,25.8
2016,28.4,25.8
2017,27.7,25.2
2018,27.9,25.4
2019,28.4,25.9
2020,28.4,25.7
